contacts,share_contacted,responses,precision,recall,f1,profit,score_cutoff
1721,0.8524021792966815,276,0.16037187681580475,0.9387755102040817,0.2739454094290311,-2127.0,0.010371716361781485
1741,0.8623080733036157,276,0.1585295807007467,0.9387755102040817,0.271253071252824,-2187.0,0.00997194818088144
1761,0.8722139673105498,278,0.15786484951731972,0.9455782312925171,0.27055961070535095,-2225.0,0.00952866609502089
1781,0.8821198613174839,279,0.1566535654126895,0.9489795918367347,0.26891566265035916,-2274.0,0.009207443198930524
1801,0.8920257553244181,281,0.15602443087173792,0.95578231292517,0.26825775656300455,-2312.0,0.008698178339471592
1821,0.9019316493313522,282,0.15485996705107083,0.9591836734693877,0.26666666666642724,-2361.0,0.008174656262609202
1841,0.9118375433382863,283,0.15372080391091797,0.9625850340136054,0.2651053864166243,-2410.0,0.007734734231235654
1861,0.9217434373452204,284,0.15260612573885007,0.9659863945578231,0.26357308584663214,-2459.0,0.007263876180110146
1881,0.9316493313521546,285,0.15151515151515152,0.9693877551020408,0.2620689655170076,-2508.0,0.0068143891835246
1901,0.9415552253590886,286,0.1504471330878485,0.9727891156462585,0.2605922551250527,-2557.0,0.006389674648207571
1921,0.9514611193660227,287,0.1494013534617387,0.9761904761904762,0.25914221218938605,-2606.0,0.005878951136504371
1941,0.9613670133729569,287,0.1478619268418341,0.9761904761904762,0.2568232662190109,-2666.0,0.005433776968782057
1961,0.971272907379891,288,0.14686384497705252,0.9795918367346939,0.2554323725053164,-2715.0,0.004952445007060084
1981,0.9811788013868251,290,0.1463907117617365,0.9863945578231292,0.2549450549448299,-2753.0,0.004297592516935525
2001,0.9910846953937593,292,0.14592703648175911,0.9931972789115646,0.25446623093659576,-2791.0,0.0034296909186240527
2019,1.0,294,0.14561664190193166,1.0,0.2542153047987405,-2823.0,0.0017357664435205145
